Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2017-12-16,62898.99,69500.0,62750.0,69100.0,519.59252296,34256354.576888,65929.267768783
2017-12-15,58800.0,66599.0,58500.0,62880.0,1143.75676354,71973596.12643,62927.362198644
2017-12-14,56590.0,58999.12345,56200.0,58800.0,511.06713185,29407483.51755,57541.332018552
2017-12-13,55999.0,57000.0,55155.0,56792.0,473.48262446,26676341.330518,56340.697530226
2017-12-12,55301.18186,56847.0,54500.0,56000.0,716.89796471,39801179.231996,55518.611003585
2017-12-11,52299.0,57654.0,51840.1241,55600.0,978.37356878,54160313.621667,55357.498761136
2017-12-10,51799.99999,53500.0,48280.0,52299.0,767.07886702,39398565.860079,51361.818913272
2017-12-09,55990.00001,56999.0,48500.0,51720.0,1026.45145746,53512541.054789,52133.533121195
2017-12-08,56700.0,58100.0,48200.0,55999.0,1424.04978596,78032997.733874,54796.537665479
2017-12-07,49200.0,57600.0,45832.0,56700.0,1992.91526512,105544622.42028,52959.914687553
2017-12-06,43888.0,49600.0,43348.0,49312.0,1233.31717442,57441975.591036,46575.185023309
2017-12-05,42698.99998,44000.0,42160.0,43888.0,526.78447022,22764348.4644,43213.7804953
2017-12-04,42300.0,42979.0,41999.99,42698.99998,397.972266,16909621.6509,42489.44737
2017-12-03,41800.0,43123.0,41300.0,42300.0,585.35890726,24764055.528,42305.7635596
2017-12-02,40693.0,41997.0,40599.99,41800.0,344.9092056,14319637.6169,41517.1221424
